1,Amador,España,13,1/12/1976,Delantero,7,3
2,Arturo,Chile,8,22/5/1987,Defensa,4,6
3,Cristiano,Portugal,7,5/2/1985,Delantero,11,5
4,Haaland,Noruega,9,21/7/2000,Defensa,2,2
5,Jordi,España,11,11/9/1994,Centrocampista,6,4
6,Mbappe,Francia,12,20/12/1998,Delantero,9,7
7,Messi,Argentina,10,24/6/1987,Defensa,14,3
8,Morata,España,14,23/10/1992,Centrocampista,5,2
9,Nines,España,1,8/4/1971,Portero,0,1
10,Puyol,España,16,13/4/1978,Delantero,3,6
11,Ronaldinho,Brasil,18,21/3/1980,Defensa,7,4
12,Ronaldo,Brasil,17,18/9/1976,Centrocampista,8,6
13,Samu,Camerún,19,10/3/1981,Defensa,6,5
14,Sturridge,Reino Unido,20,1/9/1989,Defensa,1,1
15,Vinicius,Brasil,15,12/7/2000,Centrocampista,10,3
16,Zlatan,Suecia,6,3/10/1981,Delantero,12,5
17,Iniesta,España,5,11/5/1984,Centrocampista,4,4
18,Benzema,Francia,4,19/12/1987,Delantero,6,2
19,Lewandowski,Polonia,3,21/8/1988,Delantero,5,6
20,Joaquin,España,2,21/7/1981,Centrocampista,8,3